, 530 
 100.8 , 2.233296E-02 
 101.2 , 2.470642E-02 
 101.6 , 2.570715E-02 
 102 , 0.0249921 
 102.4 , 2.332823E-02 
 102.8 , 2.738017E-02 
 103.2 , 2.594577E-02 
 103.6 , 2.484923E-02 
 104 , 2.699722E-02 
 104.4 , 2.608899E-02 
 104.8 , 2.470642E-02 
 105.2 , 2.513504E-02 
 105.6 , 2.423069E-02 
 106 , 0.0249921 
 106.4 , 2.637558E-02 
 106.8 , 2.465881E-02 
 107.2 , 2.489686E-02 
 107.6 , 2.546869E-02 
 108 , 2.233296E-02 
 108.4 , 2.446851E-02 
 108.8 , 2.475403E-02 
 109.2 , 2.442093E-02 
 109.6 , 2.556405E-02 
 110 , 2.527799E-02 
 110.4 , 2.404054E-02 
 110.8 , 2.404054E-02 
 111.2 , 2.475403E-02 
 111.6 , 2.680585E-02 
 112 , 2.366049E-02 
 112.4 , 2.238031E-02 
 112.8 , 2.185983E-02 
 113.2 , 2.380297E-02 
 113.6 , 2.290142E-02 
 114 , 2.508738E-02 
 114.4 , 2.427825E-02 
 114.8 , 2.551635E-02 
 115.2 , 2.256973E-02 
 115.6 , 2.456365E-02 
 116 , 2.642338E-02 
 116.4 , 2.465881E-02 
 116.8 , 2.399301E-02 
 117.2 , 2.565943E-02 
 117.6 , 2.309107E-02 
 118 , 2.442093E-02 
 118.4 , 2.518266E-02 
 118.8 , 0.0249921 
 119.2 , 0.0249921 
 119.6 , 2.299622E-02 
 120 , 2.618449E-02 
 120.4 , 2.285401E-02 
 120.8 , 2.299622E-02 
 121.2 , 2.323336E-02 
 121.6 , 2.475403E-02 
 122 , 2.389799E-02 
 122.4 , 2.313847E-02 
 122.8 , 2.389799E-02 
 123.2 , 2.608899E-02 
 123.6 , 2.366049E-02 
 124 , 2.385048E-02 
 124.4 , 2.465881E-02 
 124.8 , 2.461124E-02 
 125.2 , 2.408808E-02 
 125.6 , 2.484923E-02 
 126 , 2.342315E-02 
 126.4 , 2.489686E-02 
 126.8 , 2.242764E-02 
 127.2 , 2.513504E-02 
 127.6 , 0.0229488 
 128 , 2.446848E-02 
 128.4 , 2.446848E-02 
 128.8 , 0.022475 
 129.2 , 2.423069E-02 
 129.6 , 2.470642E-02 
 130 , 2.408808E-02 
 130.4 , 2.399301E-02 
 130.8 , 2.351807E-02 
 131.2 , 2.618449E-02 
 131.6 , 2.661457E-02 
 132 , 2.152894E-02 
 132.4 , 2.556405E-02 
 132.8 , 2.238031E-02 
 133.2 , 2.508738E-02 
 133.6 , 2.642338E-02 
 134 , 2.285401E-02 
 134.4 , 2.347059E-02 
 134.8 , 2.451606E-02 
 135.2 , 2.233296E-02 
 135.6 , 2.604124E-02 
 136 , 2.508738E-02 
 136.4 , 2.313847E-02 
 136.8 , 0.0229488 
 137.2 , 2.304364E-02 
 137.6 , 2.580259E-02 
 138 , 2.551635E-02 
 138.4 , 2.461124E-02 
 138.8 , 0.0229488 
 139.2 , 2.642338E-02 
 139.6 , 2.204902E-02 
 140 , 2.171799E-02 
 140.4 , 2.313847E-02 
 140.8 , 2.394549E-02 
 141.2 , 2.328078E-02 
 141.6 , 2.475403E-02 
 142 , 2.442093E-02 
 142.4 , 2.523033E-02 
 142.8 , 0.023613 
 143.2 , 2.275924E-02 
 143.6 , 2.637558E-02 
 144 , 2.152894E-02 
 144.4 , 2.347059E-02 
 144.8 , 2.299622E-02 
 145.2 , 2.508738E-02 
 145.6 , 2.551635E-02 
 146 , 2.219097E-02 
 146.4 , 2.252236E-02 
 146.8 , 2.389799E-02 
 147.2 , 2.556405E-02 
 147.6 , 2.063207E-02 
 148 , 2.309107E-02 
 148.4 , 2.252236E-02 
 148.8 , 2.385048E-02 
 149.2 , 2.233296E-02 
 149.6 , 2.503974E-02 
 150 , 2.456365E-02 
 150.4 , 2.451606E-02 
 150.8 , 2.399301E-02 
 151.2 , 2.332823E-02 
 151.6 , 2.470642E-02 
 152 , 2.446848E-02 
 152.4 , 0.0229488 
 152.8 , 0.0222383 
 153.2 , 0.0212455 
 153.6 , 2.290142E-02 
 154 , 2.115108E-02 
 154.4 , 2.408808E-02 
 154.8 , 2.446848E-02 
 155.2 , 2.432579E-02 
 155.6 , 2.209632E-02 
 156 , 2.503974E-02 
 156.4 , 2.318591E-02 
 156.8 , 2.261708E-02 
 157.2 , 2.176525E-02 
 157.6 , 0.0249921 
 158 , 2.342315E-02 
 158.4 , 2.446851E-02 
 158.8 , 2.290142E-02 
 159.2 , 2.389799E-02 
 159.6 , 2.404054E-02 
 160 , 2.256971E-02 
 160.4 , 2.356555E-02 
 160.8 , 2.290142E-02 
 161.2 , 2.091508E-02 
 161.6 , 2.200171E-02 
 162 , 2.290142E-02 
 162.4 , 0.0219544 
 162.8 , 2.413559E-02 
 163.2 , 2.518266E-02 
 163.6 , 2.299622E-02 
 164 , 2.380297E-02 
 164.4 , 2.105668E-02 
 164.8 , 2.309107E-02 
 165.2 , 2.404054E-02 
 165.6 , 2.115108E-02 
 166 , 2.470642E-02 
 166.4 , 2.233296E-02 
 166.8 , 0.023613 
 167.2 , 2.214364E-02 
 167.6 , 2.228562E-02 
 168 , 0.022475 
 168.4 , 2.399301E-02 
 168.8 , 2.209632E-02 
 169.2 , 2.423069E-02 
 169.6 , 2.337569E-02 
 170 , 2.423069E-02 
 170.4 , 2.532564E-02 
 170.8 , 2.304364E-02 
 171.2 , 2.399301E-02 
 171.6 , 2.418314E-02 
 172 , 2.209632E-02 
 172.4 , 2.171799E-02 
 172.8 , 2.271185E-02 
 173.2 , 2.309107E-02 
 173.6 , 2.503974E-02 
 174 , 2.318591E-02 
 174.4 , 2.465881E-02 
 174.8 , 2.072637E-02 
 175.2 , 2.176525E-02 
 175.6 , 2.256973E-02 
 176 , 2.242764E-02 
 176.4 , 2.100947E-02 
 176.8 , 2.271185E-02 
 177.2 , 2.342315E-02 
 177.6 , 2.167071E-02 
 178 , 2.442093E-02 
 178.4 , 2.518266E-02 
 178.8 , 0.022475 
 179.2 , 2.523033E-02 
 179.6 , 2.209632E-02 
 180 , 2.313847E-02 
 180.4 , 2.204902E-02 
 180.8 , 2.185983E-02 
 181.2 , 2.266447E-02 
 181.6 , 2.375549E-02 
 182 , 2.167071E-02 
 182.4 , 2.299622E-02 
 182.8 , 2.261708E-02 
 183.2 , 2.096227E-02 
 183.6 , 2.209632E-02 
 184 , 2.523033E-02 
 184.4 , 2.356555E-02 
 184.8 , 2.489686E-02 
 185.2 , 1.931374E-02 
 185.6 , 2.370799E-02 
 186 , 2.181253E-02 
 186.4 , 2.332823E-02 
 186.8 , 2.185983E-02 
 187.2 , 2.115108E-02 
 187.6 , 2.100947E-02 
 188 , 2.091508E-02 
 188.4 , 2.389799E-02 
 188.8 , 2.370799E-02 
 189.2 , 2.185983E-02 
 189.6 , 2.375549E-02 
 190 , 0.023613 
 190.4 , 2.332823E-02 
 190.8 , 2.432579E-02 
 191.2 , 2.138721E-02 
 191.6 , 2.461124E-02 
 192 , 2.214364E-02 
 192.4 , 2.261708E-02 
 192.8 , 2.157617E-02 
 193.2 , 2.238031E-02 
 193.6 , 2.016078E-02 
 194 , 2.138721E-02 
 194.4 , 2.252236E-02 
 194.8 , 2.025499E-02 
 195.2 , 2.313847E-02 
 195.6 , 2.228562E-02 
 196 , 2.138721E-02 
 196.4 , 2.242767E-02 
 196.8 , 2.096227E-02 
 197.2 , 2.228562E-02 
 197.6 , 2.256971E-02 
 198 , 2.167071E-02 
 198.4 , 0.0211983 
 198.8 , 2.157617E-02 
 199.2 , 2.256973E-02 
 199.6 , 2.337569E-02 
 200 , 2.058491E-02 
 200.4 , 2.342315E-02 
